marca,modelo,anio,precio,kilometraje,tipo,color,condicion,ventas
Nissan,Sentra,2022,21000.0,51816.0,Pickup,Azul,Bueno,369
Chevrolet,Equinox,2020,35500.0,14561.0,Sedán,Rojo,Excelente,407
Kia,Forte,2017,15800.0,27957.0,Pickup,Azul,Excelente,418
Kia,Sorento,2016,6100.0,147248.0,SUV,Rojo,Malo,356
Nissan,Sentra,2022,28700.0,9726.0,SUV,Plateado,Excelente,328
Mercedes,GLE,2018,44500.0,21070.0,Hatchback,Plateado,Excelente,263
Hyundai,Tucson,2021,19000.0,45975.0,SUV,Azul,Bueno,323
Hyundai,Tucson,2023,22900.0,28412.0,Sedán,Blanco,Excelente,343
Kia,Sorento,2023,22300.0,73603.0,Pickup,Blanco,Bueno,315
BMW,X3,2021,45600.0,55479.0,SUV,Blanco,Bueno,312
Nissan,Rogue,2022,24900.0,57068.0,Sedán,Gris,Bueno,366
BMW,530i,2017,36300.0,76752.0,Pickup,Blanco,Bueno,259
Volkswagen,Tiguan,2017,31200.0,9227.0,Hatchback,Plateado,Excelente,326
BMW,530i,2021,50700.0,32014.0,Hatchback,Negro,Bueno,304
Volkswagen,Jetta,2023,33900.0,13643.0,Hatchback,Negro,Excelente,345
Nissan,Sentra,2021,20300.0,113105.0,Sedán,Gris,Regular,316
Nissan,Altima,2022,22900.0,43782.0,Hatchback,Gris,Bueno,361
Mercedes,C200,2018,44200.0,31923.0,Sedán,Blanco,Bueno,296
Toyota,Corolla,2016,22000.0,29676.0,Pickup,Plateado,Excelente,377
Honda,Civic,2020,24700.0,22402.0,Sedán,Plateado,Excelente,355
Hyundai,Elantra,2018,5000.0,196613.0,Sedán,Blanco,Malo,325
Mercedes,C200,2017,48000.0,52318.0,Pickup,Gris,Bueno,228
Chevrolet,Equinox,2018,21400.0,133956.0,Sedán,Gris,Malo,300
Kia,Forte,2016,5600.0,125439.0,Hatchback,Negro,Regular,406
Kia,Forte,2016,5000.0,,Sedán,Blanco,Malo,351
Ford,Explorer,2017,24100.0,98505.0,Pickup,Blanco,Regular,373
Hyundai,Tucson,2022,20000.0,49519.0,SUV,Plateado,Bueno,336
Ford,F-150,2023,34200.0,19406.0,Hatchback,Gris,Excelente,302
Toyota,Camry,2017,22500.0,51563.0,Pickup,Gris,Bueno,359
Honda,Civic,2015,15800.0,52858.0,Hatchback,Gris,Bueno,414
Chevrolet,Equinox,2015,25300.0,14345.0,Sedán,Azul,Excelente,415
Hyundai,Elantra,2015,12500.0,41816.0,Pickup,Blanco,Bueno,355
Ford,Escape,2023,36400.0,34299.0,Hatchback,Negro,Bueno,397
Mercedes,E300,2016,49800.0,19605.0,Sedán,Gris,Excelente,267
Mercedes,E300,2021,54000.0,31336.0,Sedán,Rojo,Bueno,413
Toyota,Corolla,2017,20800.0,29480.0,Sedán,Negro,Excelente,396
Mercedes,GLE,2020,51000.0,22737.0,Hatchback,Azul,Excelente,321
Toyota,Camry,2019,23900.0,37370.0,Pickup,Gris,Bueno,348
Nissan,Sentra,2016,16800.0,39376.0,Pickup,Rojo,Bueno,381
Volkswagen,Golf,2019,,20117.0,Sedán,Blanco,Excelente,408
Volkswagen,Tiguan,2015,20300.0,39086.0,Sedán,Azul,Bueno,410
Mercedes,C200,2021,57500.0,11449.0,Sedán,Azul,Excelente,232
BMW,530i,2015,31600.0,28407.0,Sedán,Plateado,Excelente,309
BMW,530i,2020,43700.0,53214.0,Hatchback,Azul,Bueno,312
Chevrolet,Equinox,2016,29900.0,15296.0,Hatchback,Negro,Excelente,389
Ford,F-150,2015,24000.0,85751.0,Hatchback,Negro,Regular,353
Honda,Civic,2017,22700.0,57301.0,SUV,Negro,Bueno,324
Ford,F-150,2021,35100.0,18326.0,Hatchback,Rojo,Excelente,337
Kia,Forte,2023,24700.0,46718.0,Sedán,Gris,Bueno,388
Chevrolet,Malibu,2015,20900.0,82286.0,Hatchback,Blanco,Regular,393
Nissan,Sentra,2021,21900.0,73176.0,Hatchback,Blanco,Bueno,263
Mercedes,C200,2017,49200.0,27579.0,Pickup,Rojo,Excelente,276
Ford,Escape,2019,34700.0,13819.0,Hatchback,Azul,Excelente,302
Nissan,Sentra,2021,29600.0,,Pickup,Rojo,Excelente,386
Kia,Sportage,2015,,11339.0,Sedán,Negro,Excelente,425
Volkswagen,Tiguan,2019,27300.0,42948.0,Pickup,Blanco,Bueno,337
Chevrolet,Malibu,2017,20600.0,77856.0,Pickup,Plateado,Bueno,388
Ford,F-150,2016,27900.0,42728.0,Pickup,Blanco,Bueno,384
Nissan,Sentra,2017,14200.0,44903.0,Hatchback,Blanco,Bueno,373
Mercedes,C200,2020,47800.0,84217.0,Sedán,Rojo,Regular,241
Ford,Explorer,2018,34100.0,14719.0,Pickup,Blanco,Excelente,390
BMW,X3,2020,50600.0,35479.0,Hatchback,Negro,Bueno,236
Chevrolet,Malibu,2022,28600.0,25156.0,Hatchback,Azul,Excelente,379
Ford,F-150,2020,24800.0,139883.0,SUV,Plateado,Malo,294
Honda,CR-V,2019,20800.0,8395.0,SUV,Gris,Excelente,464
Toyota,Camry,2015,19300.0,40724.0,Sedán,Azul,Bueno,370
Mercedes,E300,2019,48200.0,48228.0,SUV,Blanco,Bueno,204
Ford,F-150,2018,21200.0,21658.0,Pickup,Gris,Excelente,387
Honda,Civic,2020,14600.0,167754.0,Pickup,Azul,Malo,361
BMW,X3,2016,39000.0,85455.0,SUV,Gris,Regular,205
Ford,Explorer,2016,29100.0,28525.0,SUV,Negro,Excelente,356
Ford,F-150,2019,26600.0,76774.0,Hatchback,Rojo,Bueno,364
Hyundai,Elantra,2016,17700.0,54205.0,Hatchback,Gris,Bueno,328
Ford,Explorer,2023,38500.0,38976.0,Hatchback,Rojo,Bueno,282
Hyundai,Elantra,2017,10000.0,98995.0,SUV,Gris,Regular,400
Ford,F-150,2019,30200.0,28823.0,SUV,Plateado,Excelente,314
Honda,Civic,2023,27600.0,15547.0,SUV,Gris,Excelente,385
Toyota,Corolla,2018,19200.0,80118.0,Hatchback,Plateado,Regular,371
Volkswagen,Golf,2022,27300.0,69175.0,SUV,Gris,Bueno,347
Honda,Accord,2020,24300.0,42313.0,Hatchback,Negro,Bueno,349
Nissan,Sentra,2015,13200.0,23331.0,Sedán,Rojo,Excelente,436
Kia,Sportage,2017,14700.0,61451.0,SUV,Blanco,Bueno,357
Ford,Escape,2023,37800.0,26263.0,Hatchback,Gris,Excelente,404
Mercedes,C200,2023,55600.0,18918.0,SUV,Gris,Excelente,171
Hyundai,Sonata,2023,28200.0,17197.0,Pickup,Plateado,Excelente,379
Mercedes,C200,2022,51700.0,68311.0,SUV,Gris,Bueno,309
BMW,X3,2020,38300.0,69767.0,Pickup,Blanco,Bueno,292
Volkswagen,Tiguan,2020,24600.0,,Pickup,Blanco,Bueno,381
Mercedes,GLE,2022,51500.0,17533.0,Hatchback,Negro,Excelente,289
Chevrolet,Silverado,2019,29400.0,7946.0,Pickup,Gris,Excelente,473
Toyota,Camry,2016,23300.0,19539.0,Hatchback,Plateado,Excelente,383
