id_orden,fecha_venta,mes_venta,categoria,metodo_pago,region,estado_envio,genero_cliente,precio_unitario,cantidad,descuento_pct,total_venta,edad_cliente,calificacion,dias_envio,costo_envio,comentario_cliente,descripcion_producto
ORD-00001,2023-11-24,November,Ropa,Transferencia,Este,Entregado,F,1903.97,19,0.28,26046.31,63,3.1,14,284.66,No era exactamente lo que buscaba pero funciona correctamente.,Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00002,2023-02-27,February,Libros,Efectivo,Este,Entregado,F,4756.04,8,0.37,23970.44,68,4.0,1,161.56,No era exactamente lo que buscaba pero funciona correctamente.,Producto certificado con garantía extendida de 12 meses.
ORD-00003,2023-01-13,January,Electrónica,Tarjeta de débito,Centro,Entregado,F,3673.37,7,0.15,21856.55,30,1.5,9,279.0,"Muy buena compra, lo recomiendo ampliamente a todos.",Material premium con acabado de alta calidad y durabilidad.
ORD-00004,2023-05-21,May,Alimentos,PayPal,Centro,Entregado,F,3013.36,16,0.1,43392.38,35,1.9,4,217.55,"El producto no cumplió mis expectativas, la calidad es regular.",Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00005,2023-05-06,May,Juguetes,Transferencia,Centro,Devuelto,F,822.29,19,0.22,12186.34,60,2.5,12,79.37,No era exactamente lo que buscaba pero funciona correctamente.,Material premium con acabado de alta calidad y durabilidad.
ORD-00006,2023-04-25,April,Ropa,Tarjeta de crédito,Centro,Entregado,F,822.17,6,0.32,3354.45,45,2.4,12,278.53,El empaque llegó dañado aunque el producto estaba bien.,Diseño ergonómico ideal para uso diario y profesional.
ORD-00007,2023-03-13,March,Juguetes,Tarjeta de débito,Centro,Devuelto,F,337.51,11,0.0,3712.61,55,2.6,8,200.23,Tardó más de lo esperado pero el producto está bien.,Compatible con múltiples plataformas y sistemas operativos.
ORD-00008,2023-02-22,February,Electrónica,PayPal,Oeste,Entregado,F,4337.57,5,0.25,16265.89,58,4.2,13,124.23,El empaque llegó dañado aunque el producto estaba bien.,Fabricado con materiales sustentables y proceso ecológico.
ORD-00009,2023-12-13,December,Juguetes,Tarjeta de débito,Este,Entregado,F,3025.52,16,0.24,36790.32,61,2.3,14,204.07,"Increíble relación calidad-precio, definitivamente volvería a comprar.",Alta resistencia y durabilidad probada bajo estándares internacionales.
ORD-00010,2023-10-07,October,Deportes,Efectivo,Centro,Entregado,M,3554.96,7,0.13,21649.71,36,3.0,9,120.39,"Excelente producto, llegó a tiempo y en perfectas condiciones.",Alta resistencia y durabilidad probada bajo estándares internacionales.
